ID,question,question_En,explanation,explanation_En,hint,hint_En,first_option,second_option,third_option,fourth_option,first_option_En,second_option_En,third_option_En,fourth_option_En,answer_index,hint_option,targets,category,question_class,sub_category,wiki_link
11,کدام یک از فرزندان محمود فرشچیان دکتر است؟,Which one of Mahmoud Farshchian's children is a doctor?,علی‌مراد فرزند محمود فرشچیان پزشک است.,"Ali Morad, Mahmoud Farshchian's child, is a physician.",لیلا فرزند محمود فرشچیان در رشته روانشناسی در ایران تحصیل کرده است.,"Leila, Mahmoud Farshchian's child, studied psychology in Iran.",علی‌مراد,لیلا,فاطمه,هیچکدام,Ali Morad,Leila,Fatemeh,None of them,1,2,about an option other than the answer,Arts_and_Literature,Person,Artists,https://fa.wikipedia.org/wiki/محمود_فرشچیان
12,کدام تابلوی محمود فرشچیان از آیات قرآن کریم الهام گرفته شده است؟,Which painting by Mahmoud Farshchian is inspired by verses of the Holy Quran?,تابلوی ستایش اثر محمود فرشچیان برداشتی از مفهوم آیه شریفه 'یَسَبِّحُ لِلَّهِ مَا فِی السَّمَاوَاتِ وَمَا فِی الْأَرْضِ' از سوره جمعه است.,"The painting ""Setayesh"" by Mahmoud Farshchian is an interpretation of the concept of the noble verse 'Yusabbihu lillahi ma fi alssamawati wama fi al'ard' from Surah Al-Jumu'ah.",تابلوی شمس و مولانای محمود فرشچیان از متون عرفانی و مذهبی الهام گرفته شده است,"Mahmoud Farshchian's painting ""Shams and Mowlana"" is inspired by mystical and religious texts",ستایش,عصر عاشورا,شمس و مولانا,ضامن آهو,Setayesh,Asr-e Ashura,Shams and Mowlana,Zamen-e Ahoo,1,3,about an option other than the answer,Arts_and_Literature,Artwork,Artists,https://fa.wikipedia.org/wiki/محمود_فرشچیان
13,محمود فرشچیان برای کدام کتاب نقاشی نکشیده است؟,For which book has Mahmoud Farshchian not painted?,محمود فرشچیان برای شاهنامه فردوسی، دیوان حافظ شیرازی و رباعیات خیام نقاشی کشیده است.,"Mahmoud Farshchian has painted for Ferdowsi's Shahnameh, Hafez Shirazi's Divan, and Khayyam's Rubaiyat.",تابلوی «شمس و مولانا» اثر محمود فرشچیان از یکی از اشعار مولانا جلال‌الدین محمد بلخی (صاحب کتاب مثنوی معنوی) در ایران الهام گرفته شده‌است,"The painting ""Shams and Mowlana"" by Mahmoud Farshchian was inspired by one of the poems of Mowlana Jalaluddin Mohammad Balkhi (author of the book Masnavi Manavi) in Iran.",مثنوی معنوی,شاهنامه,دیوان حافظ,رباعیات خیام,Masnavi Manavi,Shahnameh,Divan of Hafez,Rubaiyat of Khayyam,1,-,about the answer,Arts_and_Literature,Artwork,Artists,https://fa.wikipedia.org/wiki/محمود_فرشچیان
14,کدام دانشگاه در ایران به نام محمود فرشچیان نامگذاری شده است؟,Which university in Iran is named after Mahmoud Farshchian?,دانشگاه هنرهای اسلامی-ایرانی استاد محمود فرشچیان در سال ۱۳۹۷ در شهر اصفهان افتتاح شد.,The University of Islamic-Iranian Arts of Master Mahmoud Farshchian was inaugurated in Isfahan in 1397.,در تاریخ ۳۰ مهر ۱۳۹۷، دانشگاه هنرهای اسلامی-ایرانی استاد محمود فرشچیان به‌عنوان زیر مجموعهٔ دانشگاه آزاد اسلامی در شهر اصفهان افتتاح شد,"On 30 Mehr 1397, the University of Islamic-Iranian Arts of Master Mahmoud Farshchian was inaugurated as a subdivision of Islamic Azad University in Isfahan",دانشگاه هنرهای اسلامی-ایرانی,دانشگاه هنر,دانشکده هنرهای زیبا,دانشگاه آزاد اسلامی,University of Islamic-Iranian Arts,University of Art,Faculty of Fine Arts,Islamic Azad University,1,4,about an option other than the answer,Arts_and_Literature,Group_Org,Artists,https://fa.wikipedia.org/wiki/محمود_فرشچیان
15,نخستین مجموعه شعر نیمایی سهراب سپهری چه نام داشت؟,What was the name of Sohrab Sepehri's first Nimai poetry collection?,سهراب سپهری در سال ۱۳۳۰ نخستین مجموعه شعر نیمایی خود را به نام مرگ رنگ در ایران منتشر کرد,"Sohrab Sepehri published his first Nimai poetry collection called ""Marg-e Rang"" (Death of Color) in Iran in 1330",سهراب سپهری در سال ۱۳۳۲ از دانشکده هنرهای زیبا در تهران فارغ‌التحصیل شد و نشان درجه اول علمی را دریافت کرد. در همین سال در چند نمایشگاه نقاشی در تهران شرکت نمود و یک مجموعهٔ شعر با عنوان زندگی خواب‌ها در ایران منتشر کرد,"Sohrab Sepehri graduated from the Faculty of Fine Arts in Tehran in 1332 and received the first-degree scientific badge. In the same year, he participated in several painting exhibitions in Tehran and published a poetry collection titled ""Zendegi-e Khab-ha"" (Life of Dreams) in Iran",حجم سبز,صدای پای آب,زندگی خواب‌ها,مرگ رنگ,Hajm-e Sabz,Sedaye Paye Ab,Zendegi-e Khab-ha,Marg-e Rang,4,3,about an option other than the answer,Arts_and_Literature,Artwork,Artists,https://fa.wikipedia.org/wiki/سهراب_سپهری
16,در کدام سال سهراب سپهری از دنیا رفت؟,In which year did Sohrab Sepehri pass away?,سهراب سپهری در غروب دوشنبه 1 اردیبهشت سال 1359 در بیمارستان پارس تهران درگذشت,"Sohrab Sepehri passed away on Monday evening, 1st of Ordibehesht 1359, at Pars Hospital in Tehran",سهراب سپهری در سال 1358 به بیماری سرطان خون مبتلا شد,Sohrab Sepehri was diagnosed with leukemia in 1358,1357,1358,1359,1360,1357,1358,1359,1360,3,2,about an option other than the answer,Arts_and_Literature,Date_Time,Artists,https://fa.wikipedia.org/wiki/سهراب_سپهری
17,مادر سهراب سپهری چه نام داشت؟,What was the name of Sohrab Sepehri's mother?,مادر سهراب سپهری، ماه‌جبین که اهل شعر و ادب بود، در خرداد سال 1373 در ایران درگذشت,"Sohrab Sepehri's mother, Mahjabeen, who was interested in poetry and literature, passed away in Khordad 1373 in Iran",در خانواده سهراب سپهری، یکی از بانوان پروانه نام داشت,"In Sohrab Sepehri's family, one of the women was named Parvaneh",پروانه,ماه‌جبین,همایون‌دخت,پری‌دخت,Parvaneh,Mahjabeen,Homayoundokht,Paridokht,2,1,about an option other than the answer,Arts_and_Literature,Person,Artists,https://fa.wikipedia.org/wiki/سهراب_سپهری
18,سهراب سپهری چند خواهر و برادر داشت؟,How many sisters and brothers did Sohrab Sepehri have?,سهراب سپهری سه خواهر به نام‌های همایون‌دخت، پری‌دخت و پروانه سپهری و یک برادر به نام منوچهر داشت.,"Sohrab Sepehri had three sisters named Homayoundokht, Paridokht, and Parvaneh Sepehri, and one brother named Manouchehr.",سهراب سپهری یک برادر به نام منوچهر داشت,Sohrab Sepehri had one brother named Manouchehr,1,2,3,4,1,2,3,4,4,2,about an option other than the answer,Arts_and_Literature,Number,Artists,https://fa.wikipedia.org/wiki/سهراب_سپهری
19,گرانترین اثر نقاشی سهراب سپهری در ایران در چه سالی و به چه قیمتی فروخته شد؟,In which year and at what price was Sohrab Sepehri's most expensive painting sold in Iran?,رکورد فروش نقاشی در ایران به یکی از چشم‌اندازهای نقاش سهراب سپهری تعلق دارد که در سال ۱۳۹۷ به قیمت پنج میلیارد و صد میلیون تومان در حراج تهران به فروش رسید.,"The record sale for a painting in Iran belongs to one of painter Sohrab Sepehri's landscapes, which was sold at Tehran Auction in 1397 for five billion and one hundred million tomans.",در سال ۱۳۹۵، دو تابلو از مجموعه تنه‌های درخت سهراب سپهری در حراج تهران در ایران به قیمت پیشنهادی چهار میلیارد و ۵۵۰ میلیون تومان به فروش رسید.,"In 1395, two paintings from Sohrab Sepehri's Tree Trunks collection were sold at Tehran Auction in Iran for the proposed price of four billion and 550 million tomans.",1393,1394,1395,1397,1393,1394,1395,1397,4,3,about an option other than the answer,Arts_and_Literature,Date_Time,Artists,https://fa.wikipedia.org/wiki/سهراب_سپهری
20,سهراب سپهری بیشتر نمایشگاه‌های داخلی آثار نقاشی‌اش را در کدام گالری در ایران برگزار می‌کرد؟,In which gallery in Iran did Sohrab Sepehri hold most of his domestic painting exhibitions?,سهراب سپهری بیشتر نمایشگاه‌های داخلی آثار نقاشی‌اش را در گالری سیحون در تهران برگزار می‌کرد,Sohrab Sepehri held most of his domestic painting exhibitions at Seyhoun Gallery in Tehran,سهراب سپهری دو بار نمایشگاه‌هایی در نگارخانه بورگز در تهران برگزار کرد,Sohrab Sepehri twice held exhibitions at Borgez Gallery in Tehran,گلستان,سیحون,صبا,بورگز,Golestan,Seyhoun,Saba,Borgez,2,4,about an option other than the answer,Arts_and_Literature,Group_Org,Artists,https://fa.wikipedia.org/wiki/سهراب_سپهری
21,سهراب سپهری در کدام سال در دوسالانه تهران برنده جایزه اول هنرهای زیبا شد؟,In which year did Sohrab Sepehri win the first prize of fine arts in the Tehran Biennial?,در دوسالانه دوم تهران در فروردین سال 1339 سهراب سپهری برنده جایزه اول هنرهای زیبا در ایران شد,"In the second Tehran Biennial in Farvardin 1339, Sohrab Sepehri won the first prize of fine arts in Iran",سهراب سپهری در سال ۱۳۴۲ در ایران نمایشگاه های بسیاری برگزار کرد و جوایزی مانند دوسالانهٔ سان پاولو را کسب کرد,Sohrab Sepehri held many exhibitions in Iran in 1342 and won awards such as the São Paulo Biennial,1337,1338,1339,1342,1337,1338,1339,1342,3,4,about an option other than the answer,Arts_and_Literature,Date_Time,Artists,https://fa.wikipedia.org/wiki/سهراب_سپهری
22,اولین فعالیت هنری پرویز تناولی در کدام زمینه بود؟,What was Parviz Tanavoli's first artistic activity?,پرویز تناولی از سن ده یا یازده سالگی نوازندگی ویولن را در ایران آغاز کرد,Parviz Tanavoli began playing the violin in Iran at the age of ten or eleven,پرویز تناولی به عنوان هنرمند مجسمه‌سازی ایرانی شناخته می شود,Parviz Tanavoli is known as an Iranian sculptor,مجسمه‌سازی,نقاشی,موسیقی,طراحی,Sculpture,Painting,Music,Design,3,1,about an option other than the answer,Arts_and_Literature,Other_proper_and_common_noun,Artists,https://fa.wikipedia.org/wiki/پرویز_تناولی
23,پرویز تناولی در کدام هنرستان تحصیل کرد؟,In which art school did Parviz Tanavoli study?,پرویز تناولی در سال ۱۳۳۲ در هنرستان هنرهای زیبای تهران در رشته مجسمه‌سازی تحصیل کرد,Parviz Tanavoli studied sculpture at Tehran Fine Arts School in 1332,پرویز تناولی تحصیلاتش را در دبیرستان ادیب تهران شروع کرد,Parviz Tanavoli began his education at Adib High School in Tehran,کمال‌الملک,هنرهای زیبا,فرهنگ و هنر,ادیب,Kamal-ol-Molk,Fine Arts,Culture and Art,Adib,2,4,about an option other than the answer,Arts_and_Literature,Group_Org,Artists,https://fa.wikipedia.org/wiki/پرویز_تناولی
24,چند مجسمه از آثار پرویز تناولی در شهرهای ایران نصب شده است؟,How many sculptures by Parviz Tanavoli have been installed in Iranian cities?,۱۴ مجسمه از آثار پرویز تناولی در شهرهای تهران، شیراز و اصفهان نصب شده است,"14 sculptures by Parviz Tanavoli have been installed in the cities of Tehran, Shiraz, and Isfahan",۱۳ مجسمه از آثار پرویز تناولی در موزه‌های هنر مدرن وین و نیویورک، پارک المپیک سئول، انستیتو مینیاپولیس، لندن، داکار و دیگر شهرهای جهان نصب شده است,"13 sculptures by Parviz Tanavoli have been installed in modern art museums in Vienna and New York, Seoul Olympic Park, Minneapolis Institute, London, Dakar, and other cities around the world",12,13,14,15,12,13,14,15,3,2,about an option other than the answer,Arts_and_Literature,Number,Artists,https://fa.wikipedia.org/wiki/پرویز_تناولی
25,کدام خیابان در تهران به نام پرویز تناولی نامگذاری شد؟,Which street in Tehran was named after Parviz Tanavoli?,خیابان مینا در تهران در سال ۱۳۹۹ به نام استاد پرویز تناولی تغییر نام داد,Mina Street in Tehran was renamed after Master Parviz Tanavoli in 1399,شهرداری منطقه یک تهران در سال ۱۳۹۹ هجری شمسی، خیابانی در حد فاصل خیابان نیاوران تا خیابان پورداد را به نام استاد پرویز تناولی تغییر نام داد,"In 1399 Solar Hijri, the Municipality of District 1 of Tehran renamed a street between Niavaran Street and Pourdad Street after Master Parviz Tanavoli",مینا,تجریش,نیاوران,فرشته,Mina,Tajrish,Niavaran,Fereshteh,1,3,about an option other than the answer,Arts_and_Literature,Location,Artists,https://fa.wikipedia.org/wiki/پرویز_تناولی
26,"کتاب ""قالیچه‌های تصویری"" پرویز تناولی توسط کدام ناشر در ایران منتشر شد؟","Which publisher in Iran published Parviz Tanavoli's book ""Pictorial Carpets""?","کتاب ""قالیچه‌های تصویری"" پرویز تناولی در سال ۱۳۶۸ توسط انتشارات سروش در تهران، ایران منتشر شد.","Parviz Tanavoli's book ""Pictorial Carpets"" was published in 1368 by Soroush Publications in Tehran, Iran.",کتاب پرویز تناولی درباره شیرهای ایرانی توسط نشر نظر در تهران منتشر شد,Parviz Tanavoli's book about Iranian lions was published by Nazar Publishing in Tehran,سروش,نظر,مرکز,نیلوفر,Soroush,Nazar,Markaz,Niloufar,1,2,about an option other than the answer,Arts_and_Literature,Group_Org,Artists,https://fa.wikipedia.org/wiki/پرویز_تناولی
27,پرویز تناولی در کدام شهر متولد شد؟,In which city was Parviz Tanavoli born?,پرویز تناولی در محله دروازه شمیران در شهر تهران در یک خانواده متوسط به دنیا آمد,Parviz Tanavoli was born in a middle-class family in the Darvazeh Shemiran neighborhood in the city of Tehran,برخی از مجسمه های استاد پرویز تناولی در شهر اصفهان قرار دارند,Some of Master Parviz Tanavoli's sculptures are located in the city of Isfahan,تهران,اصفهان,شیراز,تبریز,Tehran,Isfahan,Shiraz,Tabriz,1,2,about an option other than the answer,Arts_and_Literature,Location,Artists,https://fa.wikipedia.org/wiki/پرویز_تناولی
28,پرویز تناولی در کدام محله تهران متولد شد؟,In which neighborhood of Tehran was Parviz Tanavoli born?,پرویز تناولی در محله دروازه شمیران تهران در یک خانواده متوسط به دنیا آمد,Parviz Tanavoli was born in the Darvazeh Shemiran neighborhood of Tehran in a middle-class family,شهرداری تهران در منطقه یک در سال ۱۳۹۹ هجری شمسی یک خیابان در مجاورت پمپ بنزین نیاوران را به نام استاد پرویز تناولی تغییر نام داد,"In 1399 Solar Hijri, Tehran Municipality in District One renamed a street near the Niavaran gas station after Master Parviz Tanavoli",دروازه شمیران,تجریش,نیاوران,زرگنده,Darvazeh Shemiran,Tajrish,Niavaran,Zargandeh,1,3,about an option other than the answer,Arts_and_Literature,Location,Artists,https://fa.wikipedia.org/wiki/پرویز_تناولی
29,نویسنده کتاب سمفونی مردگان کیست؟,Who is the author of the book Symphony of the Dead?,عباس معروفی نویسنده ایرانی کتاب سمفونی مردگان است که جایزه سال ۲۰۰۱ بنیاد سورکامپ را در حوزه ادبیات دریافت کرد,"Abbas Maroufi is the Iranian author of the book Symphony of the Dead, which received the 2001 Suhrkamp Foundation Award in literature",صادق هدایت نویسنده و متفکر ایرانی از افراد تاثیرگزار بر عباس معروفی در نوشتن کتاب سمفونی مردگان است,"Sadegh Hedayat, an Iranian writer and thinker, is one of the influential figures on Abbas Maroufi in writing the book Symphony of the Dead",عباس معروفی,احمد شاملو,محمود دولت آبادی,صادق هدایت,Abbas Maroufi,Ahmad Shamloo,Mahmoud Dowlatabadi,Sadegh Hedayat,1,4,about an option other than the answer,Arts_and_Literature,Person,Books,https://fa.wikipedia.org/wiki/سمفونی_مردگان
30,داستان سمفونی مردگان اثر عباس معروفی در کدام شهر اتفاق می‌افتد؟,"In which city does the story of ""Symphony of the Dead"" by Abbas Maroufi take place?",داستان کتاب سمفونی مردگان در شهر اردبیل رخ می‌دهد که خانواده در بازار آجیل فروش‌های شهر اردبیل مغازه‌ای بزرگ دارند,"The story of ""Symphony of the Dead"" takes place in Ardabil city where the family owns a large store in the nut sellers' market of Ardabil.",سمفونی مردگان اثر عباس معروفی است که عباس معروفی در شهر تهران متولد شده است,"""Symphony of the Dead"" is a work by Abbas Maroufi who was born in Tehran.",تبریز,اردبیل,زنجان,تهران,Tabriz,Ardabil,Zanjan,Tehran,2,4,about an option other than the answer,Arts_and_Literature,Location,Books,https://fa.wikipedia.org/wiki/سمفونی_مردگان
31,کدام شخصیت در داستان سمفونی مردگان به دلیل تقلید از چتربازان روس آسیب می‌بیند؟,"Which character in the story ""Symphony of the Dead"" gets injured due to imitating Russian paratroopers?",یوسف در داستان سمفونی مردگان موقع حمله روس‌ها به تقلید از چتربازان روسی از بلندی پرت می‌شود,"Yousef in the story ""Symphony of the Dead"" jumps from a height imitating Russian paratroopers during the Russian attack",اورهان پسر محبوب پدر در داستان سمفونی مردگان و وارث تفکرات سنتی خانواده است,"Orhan is the father's favorite son in the story ""Symphony of the Dead"" and the heir to the family's traditional thinking",یوسف,آیدین,اورهان,پدر,Yousef,Aydin,Orhan,Father,1,3,about an option other than the answer,Arts_and_Literature,Person,Books,https://fa.wikipedia.org/wiki/سمفونی_مردگان
32,قالب شعری بوستان سعدی چیست؟,What is the poetic form of Saadi's Bustan?,بوستان سعدی در قالب مثنوی و در بحر متقارب سروده شده است که اثری از شاعر بزرگ ایرانی، سعدی شیرازی است.,"Saadi's Bustan is written in the form of Masnavi in the Motaqareb meter, which is a work by the great Iranian poet, Saadi Shirazi.",حافظ شیرازی که همشهری سعدی شیرازی محسوب میشود غزل سرای معروف فارسی است,"Hafez Shirazi, who is considered a fellow citizen of Saadi Shirazi, is a famous Persian ghazal poet",مثنوی,غزل,قصیده,رباعی,Masnavi,Ghazal,Qasida,Rubai,1,2,about an option other than the answer,Arts_and_Literature,Other_proper_and_common_noun,Books,https://fa.wikipedia.org/wiki/بوستان_سعدی
33,بوستان سعدی در چه سالی سروده شد؟,When was Saadi's Bustan composed?,کتاب بوستان سعدی در سال ۶۵۵ هجری قمری در ایران سروده شده است,Saadi's Bustan book was composed in 655 AH in Iran,شاعر بزرگ ایرانی، سعدی شیرازی، در سال ۶۹۵ هجری قمری در شیراز درگذشت,"The great Iranian poet, Saadi Shirazi, passed away in 695 AH in Shiraz",655,665,675,695,655,665,675,695,1,4,about an option other than the answer,Arts_and_Literature,Date_Time,Books,https://fa.wikipedia.org/wiki/بوستان_سعدی
34,چه کسی اولین بار بوستان سعدی را به زبان فرانسوی ترجمه کرد؟,Who was the first to translate Saadi's Bustan into French?,گارسن دوتاسی در سال 1859 اولین ترجمه کامل بوستان سعدی را به زبان فرانسوی انجام داد.,Garcin de Tassy completed the first complete translation of Saadi's Bustan into French in 1859.,باربیه دومنار خاورشناس فرانسوی و متخصص زبان و ادبیات فارسی بود که بوستان سعدی را به زبان فرانسوی ترجمه کرده است,Barbier de Meynard was a French orientalist and specialist in Persian language and literature who translated Saadi's Bustan into French,باربیه دومنار,ژان‌باتیست نیکولا,گارسن دوتاسی,تفتازانی,Barbier de Meynard,Jean-Baptiste Nicolas,Garcin de Tassy,Taftazani,3,1,about an option other than the answer,Arts_and_Literature,Person,Books,https://fa.wikipedia.org/wiki/بوستان_سعدی
